ID;Gender;Own_car;Own_property;Work_phone;Phone;Email;Unemployed;Num_children;Num_family;Account_length;Total_income;Age;Years_employed;Income_type;Education_type;Family_status;Housing_type;Occupation_type;Target
5008804;1;1;1;1;0;0;0;0;2;15;427500.0;3.286.857.361.889.700;12.435.573.625.741.800;Working;Higher education;Civil marriage;Rented apartment;Other;1
5008806;1;1;1;0;0;0;0;0;2;29;112500.0;5.879.381.506.807.120;31.047.865.459.249.600;Working;Secondary / secondary special;Married;House / apartment;Security staff;0
5008808;0;0;1;0;1;1;0;0;1;4;270000.0;5.232.140.290.355.030;8.353.354.278.321.930;Commercial associate;Secondary / secondary special;Single / not married;House / apartment;Sales staff;0
5008812;0;0;1;0;0;0;1;0;1;20;283500.0;61.504.343.004.989.800;0.0;Pensioner;Higher education;Separated;House / apartment;Other;0
5008815;1;1;1;1;1;1;0;0;2;5;270000.0;461.939.670.219.101;21.054.504.883.741.600;Working;Higher education;Married;House / apartment;Accountants;0
5008819;1;1;1;0;0;0;0;0;2;17;135000.0;4.867.451.077.024.160;3.269.060.966.344.270;Commercial associate;Secondary / secondary special;Married;House / apartment;Laborers;0
5008825;0;1;0;0;0;0;0;0;2;25;130500.0;29.210.729.857.560.300;3.019.911.428.708.320;Working;Incomplete higher;Married;House / apartment;Accountants;1
5008830;0;0;1;0;1;0;0;0;2;31;157500.0;27.463.945.187.101.700;4.021.985.393.266.110;Working;Secondary / secondary special;Married;House / apartment;Laborers;1
5008834;0;0;1;0;0;0;0;1;2;44;112500.0;3.002.936.405.264.990;4.435.409.351.321.380;Working;Secondary / secondary special;Single / not married;House / apartment;Other;0
5008836;1;1;1;0;0;0;0;3;5;24;270000.0;3.474.130.201.167.710;31.841.858.491.276.300;Working;Secondary / secondary special;Married;House / apartment;Laborers;0
5008838;1;0;1;0;0;0;0;1;3;39;405000.0;3.242.229.477.675.790;5.519.620.526.088.830;Commercial associate;Higher education;Married;House / apartment;Managers;0
5008844;1;1;1;0;1;0;0;0;2;43;112500.0;56.132.569.457.278.300;12.183.686.181.098.800;Commercial associate;Secondary / secondary special;Married;House / apartment;Drivers;0
5008854;0;1;1;0;0;0;0;2;4;39;135000.0;4.315.215.233.714.580;8.687.378.933.174.530;Working;Secondary / secondary special;Married;House / apartment;Laborers;0
5008868;0;0;1;0;0;0;0;1;3;24;211500.0;4.438.694.839.729.760;19.436.401.842.611.400;State servant;Secondary / secondary special;Civil marriage;House / apartment;Core staff;0
5008872;1;1;1;0;1;0;0;0;2;10;360000.0;4.564.090.980.649.840;14.686.133.185.486.300;Commercial associate;Secondary / secondary special;Married;House / apartment;Security staff;1
5008873;0;0;1;0;0;1;0;2;4;21;126000.0;3.398.016.386.373.430;4.854.309.123.390.620;Commercial associate;Higher education;Married;House / apartment;Managers;0
5008884;0;0;1;0;0;0;1;0;1;40;315000.0;5.526.739.084.307.000;0.0;Pensioner;Secondary / secondary special;Widow;House / apartment;Other;0
5008888;0;0;1;0;0;0;0;0;1;11;247500.0;4.658.822.563.091.640;36.879.607.384.135.100;Commercial associate;Higher education;Separated;Rented apartment;Core staff;0
5008891;0;0;1;0;0;0;0;0;1;7;297000.0;4.248.957.884.145.460;8.854.391.260.600.830;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;Laborers;0
5008942;0;0;0;0;1;0;0;0;2;43;157500.0;3.735.052.738.933.720;13.267.897.355.866.300;Commercial associate;Higher education;Married;House / apartment;High skill tech staff;1
5008947;1;0;1;1;1;0;0;0;2;12;135000.0;4.239.375.209.621.000;38.549.730.658.398.100;Working;Secondary / secondary special;Married;House / apartment;Drivers;0
5008951;1;0;1;0;0;0;0;1;3;45;225000.0;28.257.938.219.128.300;7.688.042.875.623.720;Working;Secondary / secondary special;Married;House / apartment;Other;0
5008955;0;1;1;0;0;0;0;0;2;4;135000.0;4.869.367.611.929.060;4.687.296.795.964.320;Working;Secondary / secondary special;Married;House / apartment;Laborers;0
5008966;1;0;1;0;1;0;0;0;2;15;157500.0;4.388.043.560.100.480;24.339.993.292.127.800;Working;Secondary / secondary special;Married;House / apartment;Other;1
5008974;0;0;1;0;0;0;1;0;2;49;112500.0;611.073.464.889.765;0.0;Pensioner;Secondary / secondary special;Married;House / apartment;Other;0
5008981;1;1;1;0;1;0;0;0;2;10;112500.0;57.151.070.863.878.100;6.518.956.583.639.630;State servant;Secondary / secondary special;Married;House / apartment;Drivers;0
5008991;0;1;1;1;1;0;0;0;1;30;270000.0;45.399.973.989.883.400;3.269.060.966.344.270;Working;Secondary / secondary special;Separated;House / apartment;Cleaning staff;0
5008998;0;1;1;0;0;1;0;0;2;4;270000.0;2.909.847.567.027.380;2.266.987.001.786.480;Working;Higher education;Married;House / apartment;Managers;0
5009000;1;1;1;0;0;0;0;0;2;22;157500.0;27.179.202.858.374.900;2.266.987.001.786.480;Working;Secondary / secondary special;Married;House / apartment;Drivers;0
5009001;1;0;1;1;1;0;0;0;2;40;166500.0;5.181.762.801.426.440;17.183.104.375.859.800;Working;Secondary / secondary special;Married;House / apartment;Laborers;0
5009016;0;0;1;0;0;1;0;2;4;24;216000.0;4.228.423.581.593.050;8.520.366.605.748.230;State servant;Higher education;Married;House / apartment;Other;0
5009027;0;1;1;0;0;1;0;0;2;21;270000.0;5.437.757.106.579.870;29.687.125.676.776.300;Commercial associate;Secondary / secondary special;Married;House / apartment;Laborers;0
5009028;0;1;1;0;0;0;0;0;2;17;225000.0;3.956.275.625.098.390;7.603.167.758.407.080;Commercial associate;Secondary / secondary special;Married;House / apartment;Laborers;1
5009031;0;0;1;0;0;0;0;0;1;13;315000.0;2.889.587.055.175.670;3.269.060.966.344.270;Working;Secondary / secondary special;Single / not married;House / apartment;Accountants;0
5009033;0;0;0;0;0;0;1;0;2;16;255150.0;51.149.578.704.559.200;0.0;Pensioner;Incomplete higher;Civil marriage;Rented apartment;Other;0
5009039;0;0;1;0;0;0;0;2;3;8;157500.0;3.922.325.578.211.730;15.195.383.888.786.200;Working;Secondary / secondary special;Single / not married;House / apartment;Core staff;0
5009042;0;0;1;0;0;0;0;0;2;20;148500.0;48.299.417.510.284.200;24.339.993.292.127.800;Working;Higher education;Married;House / apartment;Core staff;0
5009050;0;0;1;0;0;1;0;2;4;34;202500.0;30.108.763.355.852.600;62.670.691.389.966.900;Working;Higher education;Married;House / apartment;Core staff;0
5009056;1;0;1;1;0;0;0;0;1;24;202500.0;24.260.593.988.925.100;24.339.993.292.127.800;Working;Secondary / secondary special;Single / not married;House / apartment;Drivers;0
